"","logFC","AveExpr","t","P.Value","adj.P.Val","B","type"
"ENSG00000099953.10",6.73189506470376,5.26413965831279,19.4249082290547,2.99017566468841e-15,5.6562162873246e-11,23.7591435347645,"Up"
"ENSG00000123500.10",7.61602807862033,3.30111803108696,15.6017010906766,2.6093239979408e-13,2.46789863725241e-09,19.9880283972709,"Up"
"ENSG00000230838.1",5.70389338464022,-0.541263926250377,14.8943648782308,6.60228765927137e-13,4.1629624454259e-09,19.1707686736402,"Up"
"ENSG00000203805.11",5.14360762627114,0.584902741119068,13.0773161572342,8.55921719482968e-12,4.04765381143495e-08,16.8646255496108,"Up"
"ENSG00000025423.11",3.30894391953182,0.905743852720561,11.6469671513977,7.8945525169301e-11,2.98666710820499e-07,14.8129031460699,"Up"
"ENSG00000198947.16",-3.90953112560877,5.21308274347532,-11.0125554587111,2.25816538884862e-10,6.4356748557467e-07,13.82807146521,"Down"
"ENSG00000060718.22",6.04590103228273,4.52934320622485,10.9271842784321,2.6097899996013e-10,6.4356748557467e-07,13.6918128928209,"Up"
"ENSG00000169258.7",3.65647924309468,1.69426399122103,10.8017281454645,3.23293750027851e-10,6.4356748557467e-07,13.4899314784959,"Up"
"ENSG00000165474.8",4.34215243583052,3.27741972473747,10.7955846288614,3.26716070605513e-10,6.4356748557467e-07,13.4799948997048,"Up"
"ENSG00000165197.5",-6.29922840753986,1.65783183612349,-10.771971657088,3.40223876916193e-10,6.4356748557467e-07,13.4417589443461,"Down"
"ENSG00000090889.12",4.7995425005507,2.72719458402401,10.5156275846519,5.30295542146084e-10,8.5690260851306e-07,13.0221257739779,"Up"
"ENSG00000122641.11",3.57676651326377,4.60439431843925,10.4882596343393,5.56272647857548e-10,8.5690260851306e-07,12.9768293795583,"Up"
"ENSG00000167434.10",-6.00945527498413,0.407912673402508,-10.4179994942528,6.29185986793045e-10,8.5690260851306e-07,12.8601010378714,"Down"
"ENSG00000088325.16",3.93133463288435,4.4655548341969,10.4134775194023,6.34205779191311e-10,8.5690260851306e-07,12.8525665231345,"Up"
"ENSG00000161649.13",-6.43624573763017,2.51825751107457,-10.2133094790413,9.03705371201272e-10,1.13963272010955e-06,12.5163837923088,"Down"
"ENSG00000092853.14",3.5626681606368,2.17453509002383,10.1473244527361,1.01664712166204e-09,1.20193105958494e-06,12.4044127632278,"Up"
"ENSG00000164488.12",-4.13500681768153,-0.132487861215078,-10.0868566957795,1.13300720024722e-09,1.24068985692309e-06,12.3012998197069,"Down"
"ENSG00000124440.16",-5.16640133860615,1.02003922479286,-10.0639546902043,1.1806099294045e-09,1.24068985692309e-06,12.262119694511,"Down"
"ENSG00000105664.11",5.43233664638106,3.7225629146898,9.97385028335787,1.38896240527603e-09,1.38282172937902e-06,12.1072948706978,"Up"
"ENSG00000151623.15",-3.27264763315008,3.51044189314988,-9.82537072777346,1.81937832685972e-09,1.72076802154393e-06,11.8497966115017,"Down"
"ENSG00000169241.19",2.06265540118265,5.68936697064902,9.78572391361796,1.95623670677406e-09,1.76210350215896e-06,11.7805379426048,"Up"
"ENSG00000154736.6",-3.27445682476619,5.34501451338592,-9.74511917408334,2.10749521721878e-09,1.81206270585957e-06,11.7093855252478,"Down"
"ENSG00000111665.12",3.18209084922533,2.17591801180155,9.70752035822544,2.25836916554029e-09,1.85736135371131e-06,11.6433010946344,"Up"
"ENSG00000148053.17",-4.82877910262874,6.52597900104363,-9.67822561580042,2.38365332108748e-09,1.87871609257045e-06,11.5916789051742,"Down"
"ENSG00000169679.15",3.94028504710066,3.17987115702835,9.63383984101041,2.58736240935442e-09,1.93414817341019e-06,11.5132410565967,"Up"
"ENSG00000149090.12",-4.28972438416707,4.07699318366407,-9.61919149543489,2.65848236988078e-09,1.93414817341019e-06,11.4872957171326,"Down"
"ENSG00000112984.12",3.99005401357776,2.96288767283631,9.58928294618128,2.81005141371465e-09,1.96870120525283e-06,11.434230198347,"Up"
"ENSG00000137812.20",3.55848775285464,2.62149270406598,9.3981261965665,4.01564377259105e-09,2.65576084438948e-06,11.092165635864,"Up"
"ENSG00000130032.17",-3.69771765050687,1.19761556956262,-9.38768454440026,4.09525399321192e-09,2.65576084438948e-06,11.0733356002189,"Down"
"ENSG00000109805.10",3.52348406678657,2.63201762178612,9.37275530630552,4.21192775067056e-09,2.65576084438948e-06,11.0463865926706,"Up"
"ENSG00000248869.7",-3.87168379052428,-1.47090229893189,-9.26353526623858,5.17730333040121e-09,3.15915709025385e-06,10.8482897118129,"Down"
"ENSG00000029559.7",4.18320214736132,-2.07696647142348,9.24338059353686,5.37914305914696e-09,3.17974594083825e-06,10.8115527221242,"Up"
"ENSG00000166851.15",3.69478446929556,2.79339332824981,9.18306496813508,6.03326343092547e-09,3.45833972907231e-06,10.7012730058514,"Up"
"ENSG00000122952.17",3.27947792027317,4.27401176548944,9.12680897396673,6.71764840733785e-09,3.73738344921185e-06,10.5979564031298,"Up"
"ENSG00000196748.10",4.21634462906967,-0.952593323742013,9.09582756556686,7.12838650300743e-09,3.85258740259682e-06,10.5408678707697,"Up"
"ENSG00000087586.18",3.50760534627989,3.08828228342957,9.00494246059661,8.48998184017114e-09,4.46101379135215e-06,10.3726164380822,"Up"
"ENSG00000169607.13",4.1529249739198,1.76696444559162,8.94768357417687,9.48353627830699e-09,4.75435927111853e-06,10.2660165535423,"Up"
"ENSG00000164611.13",3.28437538361083,2.74990235180929,8.94402650866582,9.5509437673136e-09,4.75435927111853e-06,10.2591923590621,"Up"
"ENSG00000161980.6",1.54607568008284,3.89422867451232,8.91214273456086,1.01600431269509e-08,4.92788143049754e-06,10.1996159463633,"Up"
"ENSG00000157456.8",3.46494399079528,2.99497731776353,8.88308872942795,1.07500720148055e-08,4.97434372731166e-06,10.1452014748408,"Up"
"ENSG00000076382.17",3.08701709941909,3.5490121545532,8.88047719756882,1.08048142183142e-08,4.97434372731166e-06,10.1403045336745,"Up"
"ENSG00000163239.12",-2.60698463219582,0.180102066834896,-8.86374915130267,1.11623684241468e-08,4.97434372731166e-06,10.1089144137896,"Down"
"ENSG00000276409.5",-3.9216119934057,-0.465819516603402,-8.84875611020959,1.14932342279604e-08,4.97434372731166e-06,10.0807462113658,"Down"
"ENSG00000135074.16",2.20114032025257,3.6976491247018,8.84531082508482,1.15706874604416e-08,4.97434372731166e-06,10.074268857227,"Up"
"ENSG00000109819.9",-2.9468590842044,1.33840217339486,-8.82837385145755,1.19593705039412e-08,5.01302725996592e-06,10.0424017075758,"Down"
"ENSG00000168079.17",-7.06386416856522,2.96320676992801,-8.81759561768325,1.22137247809989e-08,5.01302725996592e-06,10.0221010448419,"Down"
"ENSG00000171819.5",-5.69647243400866,0.0173565185275937,-8.80755465420386,1.24557137459504e-08,5.01302725996592e-06,10.0031741310345,"Down"
"ENSG00000205221.12",-4.38067451614516,2.50491167812854,-8.77234242274296,1.33442325880017e-08,5.25873965905499e-06,9.9366865524058,"Down"
"ENSG00000077157.22",-2.26753883890047,6.5032195783065,-8.71475371906472,1.49412115113921e-08,5.69677375171189e-06,9.82756638802445,"Down"
"ENSG00000077152.11",3.26456826041412,2.96597652041397,8.71079228818292,1.50580824479591e-08,5.69677375171189e-06,9.82004277117801,"Up"
"ENSG00000183856.11",4.21510294808727,3.20307987821506,8.69129954447298,1.56470804192436e-08,5.8035328080473e-06,9.78298912158992,"Up"
"ENSG00000029993.15",2.39305300348097,4.99014841258307,8.65234303956166,1.68966374946374e-08,5.94829609504597e-06,9.708773942713,"Up"
"ENSG00000167900.12",3.85639452803274,4.49004967189453,8.6473263263781,1.70648881758039e-08,5.94829609504597e-06,9.69920091258022,"Up"
"ENSG00000139874.6",-3.28259926535745,-0.210819689929911,-8.64539834674891,1.71300085434362e-08,5.94829609504597e-06,9.6955209293288,"Down"
"ENSG00000138180.16",3.9788281920897,2.80187368435321,8.63093243651054,1.76268823517314e-08,5.94829609504597e-06,9.66789248403287,"Up"
"ENSG00000072571.20",3.66903074523392,2.31059723387148,8.612745493417,1.82727757626302e-08,5.94829609504597e-06,9.63311465622375,"Up"
"ENSG00000145777.15",-4.27070963392838,0.0243048473357849,-8.61141965645299,1.83208079664473e-08,5.94829609504597e-06,9.63057748006758,"Down"
"ENSG00000166265.13",-2.43458074360555,5.00201545930519,-8.59718563241417,1.88447711669327e-08,5.94829609504597e-06,9.60332277436091,"Down"
"ENSG00000186871.7",3.51568980542465,1.5951354843049,8.58177197634823,1.94296511557807e-08,5.94829609504597e-06,9.57377655956307,"Up"
"ENSG00000075035.10",-3.21813434297297,0.649025396012314,-8.57393949120969,1.97340155308959e-08,5.94829609504597e-06,9.5587495085725,"Down"
"ENSG00000149923.14",1.54469317562949,6.24842902709725,8.55948173867027,2.03088399939562e-08,5.94829609504597e-06,9.53098837204595,"Up"
"ENSG00000091137.14",-2.36309170353887,0.70385278689966,-8.55653877301523,2.04279530810112e-08,5.94829609504597e-06,9.52533374047019,"Down"
"ENSG00000123485.12",3.967517246229,2.03398515468146,8.5539092454014,2.0534990707328e-08,5.94829609504597e-06,9.52028029764493,"Up"
"ENSG00000232079.7",-4.51514836077989,-0.461620766915176,-8.54291608026568,2.09887924834308e-08,5.94829609504597e-06,9.49914280023301,"Down"
"ENSG00000153291.16",-3.40827211575523,1.98420693953852,-8.53616188526444,2.12727349720666e-08,5.94829609504597e-06,9.48614731606903,"Down"
"ENSG00000112175.8",-4.26784531467497,-0.152198731471209,-8.53120679360585,2.14835658418447e-08,5.94829609504597e-06,9.47660924514053,"Down"
"ENSG00000161888.11",3.42088540230409,1.65933750251648,8.52786543112205,2.16269529156368e-08,5.94829609504597e-06,9.47017545297687,"Up"
"ENSG00000051180.17",2.9886485954473,2.08993790108325,8.52506675438353,2.17478126053352e-08,5.94829609504597e-06,9.46478536620775,"Up"
"ENSG00000134690.11",3.34367606510305,3.04895196947917,8.51924515708555,2.20014564319938e-08,5.94829609504597e-06,9.45356970287883,"Up"
"ENSG00000075218.19",3.45736067325579,2.13902154871354,8.51900257477405,2.20120917029614e-08,5.94829609504597e-06,9.45310224740378,"Up"
"ENSG00000166803.14",3.85379112063776,1.1370068964144,8.48639641295228,2.34910698551569e-08,6.21812359603412e-06,9.3901931924043,"Up"
"ENSG00000115414.21",3.56577790323278,10.6268942473526,8.48263738720143,2.36680534422952e-08,6.21812359603412e-06,9.38293083602201,"Up"
"ENSG00000148773.14",4.10637553741099,4.94701425553878,8.47089846449009,2.42296688278871e-08,6.2784714458673e-06,9.36023839166146,"Up"
"ENSG00000286214.1",-5.67036722091456,2.31409725259659,-8.45444376233417,2.5040165259634e-08,6.3830592092852e-06,9.32839648803265,"Down"
"ENSG00000171241.9",3.33964946276825,2.35538163262167,8.44529086104328,2.55030737000532e-08,6.3830592092852e-06,9.31066759479387,"Up"
"ENSG00000080986.13",3.48831420090353,2.35170172302615,8.44250692829314,2.56456174617084e-08,6.3830592092852e-06,9.30527280649461,"Up"
"ENSG00000111206.13",3.6893463934217,3.24944892223399,8.41202593476428,2.72612314473802e-08,6.59927867479841e-06,9.24613273445883,"Up"
"ENSG00000119771.15",-2.890669224112,3.13322499286945,-8.40170580698529,2.78317641043844e-08,6.59927867479841e-06,9.22607897294858,"Down"
"ENSG00000135127.11",3.39915574287993,2.68064691894552,8.39799510074437,2.80399068110554e-08,6.59927867479841e-06,9.21886468492577,"Up"
"ENSG00000134057.15",2.71051593433976,4.39413485734591,8.39492053071236,2.82135846339966e-08,6.59927867479841e-06,9.21288565648239,"Up"
"ENSG00000111404.7",-4.66757858158772,1.16824379875531,-8.39412506064962,2.82587001828437e-08,6.59927867479841e-06,9.21133850650222,"Down"
"ENSG00000105011.9",3.94755820484726,3.31993901407936,8.37635788201667,2.92860304309505e-08,6.75578721502267e-06,9.17675842516879,"Up"
"ENSG00000240654.6",-3.44409716430018,-1.45464052080095,-8.36174492570827,3.01598523513189e-08,6.75740592982366e-06,9.14828322695018,"Down"
"ENSG00000126787.13",4.04513936336072,2.39410849182354,8.36162432561055,3.01671749317367e-08,6.75740592982366e-06,9.14804809410663,"Up"
"ENSG00000237649.8",3.65112954557249,3.20363025914952,8.35838179368817,3.03647443452639e-08,6.75740592982366e-06,9.14172537373163,"Up"
"ENSG00000127564.17",4.9350736864895,1.56360647595383,8.3309594413348,3.20899842331312e-08,7.05830397388268e-06,9.08819290252885,"Up"
"ENSG00000182463.16",-2.67838053798355,4.98663179619515,-8.32516824455498,3.24670965452986e-08,7.059167795987e-06,9.07687374177941,"Down"
"ENSG00000175063.17",4.53311427336669,2.70974083187161,8.28572155904379,3.51605732639802e-08,7.55792504388012e-06,8.99964444726451,"Up"
"ENSG00000273079.6",-4.01778398264362,-0.360451242194563,-8.27242568754034,3.61195722349529e-08,7.67682953254348e-06,8.97356291419032,"Down"
"ENSG00000138160.7",2.95544075228959,4.18672156981557,8.25896398711365,3.71180699069411e-08,7.80139344844109e-06,8.94713004504058,"Up"
"ENSG00000106004.5",-3.08955837042706,2.5096254276124,-8.2487432085775,3.78951807247147e-08,7.83982848217516e-06,8.92704342073418,"Down"
"ENSG00000117650.13",4.89752769338393,2.2195409234089,8.24254157091108,3.8374875242106e-08,7.83982848217516e-06,8.91484814171031,"Up"
"ENSG00000115361.8",-5.32361544578158,0.29336584454616,-8.23788580276366,3.87391135762005e-08,7.83982848217516e-06,8.90568909888175,"Down"
"ENSG00000170312.16",4.01664707521495,4.14723528994662,8.2278937444321,3.95329285456104e-08,7.83982848217516e-06,8.88602167211818,"Up"
"ENSG00000163431.13",-2.83441107152675,5.10841168386618,-8.21848449114181,4.0295796439496e-08,7.83982848217516e-06,8.86748817835789,"Down"
"ENSG00000258479.6",-3.18718318180434,-1.20390065992444,-8.21149381058498,4.08724025060235e-08,7.83982848217516e-06,8.85371027558895,"Down"
"ENSG00000075702.18",3.45372897420501,2.3072133886261,8.21080409442372,4.09297514312708e-08,7.83982848217516e-06,8.85235053365925,"Up"
"ENSG00000160161.9",3.42770396826477,1.80991341966143,8.21029238436451,4.09723530645256e-08,7.83982848217516e-06,8.85134167763735,"Up"
"ENSG00000240583.13",-2.6815772411807,7.46895664186759,-8.20958844834323,4.10310329739554e-08,7.83982848217516e-06,8.84995377883804,"Down"
"ENSG00000130226.17",-3.86526744911146,0.0628968491074371,-8.19313142425073,4.24278891764066e-08,8.02565951660907e-06,8.81748624159372,"Down"
"ENSG00000198826.11",2.59190556423467,3.00269693888338,8.18490028409624,4.31448639684831e-08,8.08047769136461e-06,8.80123258289892,"Up"
"ENSG00000147434.9",3.03084340343049,-2.13558628072409,8.1697244079621,4.44997254261552e-08,8.21127610858211e-06,8.77123976099758,"Up"
"ENSG00000066279.18",4.15602686526895,3.07535626496972,8.16610011195586,4.48297403734374e-08,8.21127610858211e-06,8.76407195688811,"Up"
"ENSG00000186642.16",-2.99343235686089,4.12178399661958,-8.16130750057001,4.52700203258241e-08,8.21127610858211e-06,8.75459064465585,"Down"
"ENSG00000137745.12",6.16424303472545,1.08124158336934,8.15796616784591,4.55796146860394e-08,8.21127610858211e-06,8.74797845667799,"Up"
"ENSG00000142945.13",3.64372534405466,2.83481155125188,8.14738408119547,4.65746048694344e-08,8.31137005387002e-06,8.72702682161989,"Up"
"ENSG00000123975.5",2.70998114192222,3.65939605006291,8.13673135545141,4.75988933599275e-08,8.41477258688213e-06,8.70591895114789,"Up"
"ENSG00000011426.11",3.95508144594581,3.68561486278395,8.11460826358051,4.98010312392249e-08,8.61356886136731e-06,8.66203059709497,"Up"
"ENSG00000133687.16",-3.19633549207916,5.28108606176928,-8.11436208753259,4.98261185513221e-08,8.61356886136731e-06,8.66154182805376,"Down"
"ENSG00000113368.12",2.93156755863594,4.73310009299738,8.11019949622594,5.02523000581063e-08,8.61356886136731e-06,8.65327590249194,"Up"
"ENSG00000133392.18",-4.53320499992036,6.73652121868921,-8.10736326097322,5.05448373658158e-08,8.61356886136731e-06,8.64764237020108,"Down"
"ENSG00000104415.14",4.15965731974038,3.21285777943383,8.08212671175082,5.32264720762517e-08,8.98957094459266e-06,8.59746443898725,"Up"
"ENSG00000254862.5",-2.93553625692777,-1.7782344742826,-8.0648750741358,5.51437472094313e-08,9.20319276746412e-06,8.56310985884962,"Down"
"ENSG00000165810.17",-4.18265859404713,4.11302527184179,-8.06144716377143,5.55331203986928e-08,9.20319276746412e-06,8.5562784502859,"Down"
"ENSG00000172403.11",-2.96781365273113,6.31415770031726,-8.05398030632629,5.63911234931492e-08,9.20319276746412e-06,8.54139201987944,"Down"
"ENSG00000234456.8",-2.49572389194176,4.3864384339792,-8.0535806888115,5.64374265714653e-08,9.20319276746412e-06,8.54059508779883,"Down"
"ENSG00000065534.19",-2.61520042373021,7.93883247902269,-8.03824369580805,5.82444657354829e-08,9.33725178398488e-06,8.50999200795036,"Down"
"ENSG00000091651.9",2.69261774216964,1.6776383923403,8.03567994534306,5.85523067916999e-08,9.33725178398488e-06,8.50487303611596,"Up"
"ENSG00000090530.10",-2.3786480946026,3.42816815780671,-8.03412050325614,5.8740376522214e-08,9.33725178398488e-06,8.50175887423486,"Down"
"ENSG00000084628.10",4.97949856284851,2.24761647219177,8.02249104811861,6.01626948263215e-08,9.48364612778914e-06,8.47852407212815,"Up"
"ENSG00000182253.15",-4.05789232942982,6.83004198046776,-8.01146798916709,6.15436547831865e-08,9.55706566272736e-06,8.45648272161434,"Down"
"ENSG00000121152.10",3.26702943356352,2.82899566037229,8.0107169144981,6.1638930580077e-08,9.55706566272736e-06,8.45498025667182,"Up"
"ENSG00000137807.16",3.21674985698256,3.51261336067232,8.00528196141915,6.23329182079386e-08,9.58609334001111e-06,8.44410563189088,"Up"
"ENSG00000225670.4",-3.62672474573584,-0.0191170870167963,-7.98648541361385,6.47958142822978e-08,9.80887208641652e-06,8.40646323241943,"Down"
"ENSG00000154839.10",3.63176398371756,1.26018308933964,7.98631482907798,6.48186197294388e-08,9.80887208641652e-06,8.40612138159195,"Up"
"ENSG00000171848.16",4.7086808991975,4.2560424679364,7.97391799928442,6.64983133644286e-08,9.98319123493278e-06,8.3812668949637,"Up"
"ENSG00000198838.14",-3.06919746505945,2.05987455696702,-7.96940830560955,6.71204295009971e-08,9.99645062882742e-06,8.37221985900267,"Down"
"ENSG00000261327.5",3.2030286030798,-1.32190399600067,7.96502233472808,6.77312369864901e-08,9.99645062882742e-06,8.36341820193456,"Up"
"ENSG00000138316.11",3.50796824470782,0.545578871707097,7.96188243430189,6.81720306152853e-08,9.99645062882742e-06,8.35711541690825,"Up"
"ENSG00000163378.14",-1.53972351684703,5.13651967729555,-7.94982090198137,6.98929809110079e-08,1.01255335749675e-05,8.33289078522236,"Down"
"ENSG00000033011.13",1.23953079342643,4.15453781999532,7.94823267046928,7.01229064453769e-08,1.01255335749675e-05,8.32969937842083,"Up"
"ENSG00000129173.13",3.90019815688594,1.108550158112,7.93915454482519,7.14521867318949e-08,1.02393148804585e-05,8.31145069962014,"Up"
"ENSG00000000005.6",-5.3007855281997,0.28549880329061,-7.91450467934312,7.51942535501903e-08,1.06945451139504e-05,8.26183980942145,"Down"
"ENSG00000167779.9",-3.34203732965664,4.17750243633643,-7.90817540679732,7.61873120247895e-08,1.07549193601561e-05,8.24908717492914,"Down"
"ENSG00000277954.1",-2.32826382844827,0.495506384943252,-7.90345850811614,7.69361778657506e-08,1.07801832630262e-05,8.23957948587469,"Down"
